ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN3252_c0_g1_i2,TRINITY_DN3252_c0_g1_i2,0,2.277,193.566,568.323,0,148.598,5.288,61.411,TRINITY_DN3252_c0_g1_i2,.,PF05703.12,Auxin canalisation   ,|0010305|0010087|0009734|0010265,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway|SCF complex assembly,.,.,|0016021,|integral component of membrane
TRINITY_DN3252_c0_g1_i19,TRINITY_DN3252_c0_g1_i19,0,0,131.661,256.472,29.924,0,0,0,TRINITY_DN3252_c0_g1_i19,.,PF05703.12,Auxin canalisation   ,|0010305|0010087|0009734|0010265,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway|SCF complex assembly,.,.,|0016021,|integral component of membrane
TRINITY_DN527_c0_g1_i42,TRINITY_DN527_c0_g1_i42,420.513,107.531,0,0,17.845,156.073,2.615,0,TRINITY_DN527_c0_g1_i42,BH049_ARATH,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0006355|0009739,|regulation of transcription DNA-templated|response to gibberellin,|0046983|0003700|0003677,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN6519_c0_g2_i3,TRINITY_DN6519_c0_g2_i3,0,0,124.65,141.801,57.802,54.583,2,6.167,TRINITY_DN6519_c0_g2_i3,AAP6_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0009734|0006865|0055085,|auxin-activated signaling pathway|amino acid transport|transmembrane transport,|0015293,|symporter activity,|0016021,|integral component of membrane
TRINITY_DN1440_c0_g1_i21,TRINITY_DN1440_c0_g1_i21,0,0,274.739,70.151,128.089,109.076,50.241,134.606,TRINITY_DN1440_c0_g1_i21,CAND1_ARATH,PF08623.11,TATA-binding protein interacting (TIP20) ,|0010265|0016567|0010051|0010228|0009733,|SCF complex assembly|protein ubiquitination|xylem and phloem pattern formation|vegetative to reproductive phase transition of meristem|response to auxin,.,.,|0005634|0005618|0005829|0005886|0016021,|nucleus|cell wall|cytosol|plasma membrane|integral component of membrane
TRINITY_DN7194_c0_g1_i2,TRINITY_DN7194_c0_g1_i2,375.469,312.008,67.796,38.333,41.069,158.019,10,27.749,TRINITY_DN7194_c0_g1_i2,MGDG3_ORYSJ,PF04101.17,Glycosyltransferase family 28 C-terminal domain,|0009247|0034314|0030912|0009735|0009739|0009651|0009414|0009409|0009416|0007018|0045017,|glycolipid biosynthetic process|Arp2/3 complex-mediated actin nucleation|response to deep water|response to cytokinin|response to gibberellin|response to salt stress|response to water deprivation|response to cold|response to light stimulus|microtubule-based movement|glycerolipid biosynthetic process,|0046509|0003777|0008017|0005524,|12-diacylglycerol 3-beta-galactosyltransferase activity|microtubule motor activity|microtubule binding|ATP binding,|0016020|0005885|0005737|0009579|0031984|0043231|0031967,|membrane|Arp2/3 protein complex|cytoplasm|thylakoid|organelle subcompartment|intracellular membrane-bounded organelle|organelle envelope
TRINITY_DN1674_c0_g1_i1,TRINITY_DN1674_c0_g1_i1,0,0,124.596,73.965,26.129,22.183,1.877,0,TRINITY_DN1674_c0_g1_i1,ERF34_ARATH,PF05003.13,Protein of unknown function (DUF668),|0045927|0006355|0009873,|positive regulation of growth|regulation of transcription DNA-templated|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN7580_c0_g1_i8,TRINITY_DN7580_c0_g1_i8,136.044,73.41,0,0,83.782,206.824,34.213,132.376,TRINITY_DN7580_c0_g1_i8,ARFV_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355|0048829|0007389|0051301|0048442|0031540|0048441|0048366|0009738|0010154|0009743|0048589,|auxin-activated signaling pathway|regulation of transcription DNA-templated|root cap development|pattern specification process|cell division|sepal development|regulation of anthocyanin biosynthetic process|petal development|leaf development|abscisic acid-activated signaling pathway|fruit development|response to carbohydrate|developmental growth,|0003677|0035198|0005515|0003700,|DNA binding|miRNA binding|protein binding|DNA-binding transcription factor activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN6446_c0_g1_i2,TRINITY_DN6446_c0_g1_i2,74.753,104.611,0,0,0,0,0,0,TRINITY_DN6446_c0_g1_i2,TRPA1_ARATH,PF13177.7,DNA polymerase III,|0006260|0006281|0000162|0009851,|DNA replication|DNA repair|tryptophan biosynthetic process|auxin biosynthetic process,|0003677|0033170|0140097|0005524|0004834|0033984,|DNA binding|protein-DNA loading ATPase activity|catalytic activity acting on DNA|ATP binding|tryptophan synthase activity|indole-3-glycerol-phosphate lyase activity,|0005663|0005634|0005829|0009507,|DNA replication factor C complex|nucleus|cytosol|chloroplast
TRINITY_DN3464_c0_g1_i58,TRINITY_DN3464_c0_g1_i58,339.884,93.023,0,3.573,0,37.438,0,0,TRINITY_DN3464_c0_g1_i58,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0006468|0010366|0010311|0043622,|protein phosphorylation|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization,|0004672|0005524|0005515|0004672|0005524,|protein kinase activity|ATP binding|protein binding|protein kinase activity|ATP binding,|0005737|0016021,|cytoplasm|integral component of membrane
TRINITY_DN3033_c0_g1_i1,TRINITY_DN3033_c0_g1_i1,1862.341,883.507,422.084,228.718,242.312,1589.444,0,259.607,TRINITY_DN3033_c0_g1_i1,PIN1D_ORYSJ,PF03547.19,Membrane transport protein  ,|0009734|0009926|0055085|0010315|0010252|0010015|0009630|0090627|0090558|0048588|0060560|0048469|0000904|0009416|0009734|0010315|0009926|0010252|0055085|0048364|1905392|0009630,|auxin-activated signaling pathway|auxin polar transport|transmembrane transport|auxin efflux|auxin homeostasis|root morphogenesis|gravitropism|plant epidermal cell differentiation|plant epidermis development|developmental cell growth|developmental growth involved in morphogenesis|cell maturation|cell morphogenesis involved in differentiation|response to light stimulus|auxin-activated signaling pathway|auxin efflux|auxin polar transport|auxin homeostasis|transmembrane transport|root development|plant organ morphogenesis|gravitropism,|0010329|0010329,|auxin efflux transmembrane transporter activity|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921|0016328|0009986|0012506|0005739|0005783|0016021|0005886|0098796,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex|lateral plasma membrane|cell surface|vesicle membrane|mitochondrion|endoplasmic reticulum|integral component of membrane|plasma membrane|membrane protein complex
TRINITY_DN2666_c0_g1_i12,TRINITY_DN2666_c0_g1_i12,0,0,67.282,38.53,0,0,13.934,0,TRINITY_DN2666_c0_g1_i12,PRH_ARATH,PF00628.30,PHD-finger    ,|0006325|0006355|0009733|1903508,|chromatin organization|regulation of transcription DNA-templated|response to auxin|positive regulation of nucleic acid-templated transcription,|0003677|0046872|0003682,|DNA binding|metal ion binding|chromatin binding,|0005634|0016021,|nucleus|integral component of membrane
